main_transport_mode,distance_categories,0
Cars and motorbikes,Between 0.5 and 5 km,1.455449520888697
Cars and motorbikes,Between 5 and 10 km,1.4414553287996634
Cars and motorbikes,Between 10 and 25 km,1.4680865019475382
Cars and motorbikes,Between 25 and 50 km,1.5357785146804641
Cars and motorbikes,Between 50 and 75 km,1.631110616296591
Cars and motorbikes,Between 75 and 100 km,1.4938227259542685
Cars and motorbikes,More than 100 km,1.4966589934307284
Other,Between 0.5 and 5 km,1.4508980227154762
Other,Between 5 and 10 km,1.7976832169870285
Other,Between 10 and 25 km,2.019316572423436
Other,Between 25 and 50 km,1.9088818321122996
Other,Between 50 and 75 km,1.639230853592572
Other,Between 75 and 100 km,1.6521448059272446
Other,More than 100 km,1.439074326495094
Public transport,Between 0.5 and 5 km,1.3011073376452258
Public transport,Between 5 and 10 km,1.3749834290893062
Public transport,Between 10 and 25 km,1.3304356921517304
Public transport,Between 25 and 50 km,1.406658838534099
Public transport,Between 50 and 75 km,1.3798381574489569
Public transport,Between 75 and 100 km,1.3277065337520664
Public transport,More than 100 km,1.4213207722111392
Walking and cycling,Between 0.5 and 5 km,1.5179390183516268
Walking and cycling,Between 5 and 10 km,2.2426395285619325
Walking and cycling,Between 10 and 25 km,2.2114628217532117
Walking and cycling,Between 25 and 50 km,3.053094132575993
Walking and cycling,Between 50 and 75 km,14.05326401586287
Walking and cycling,Between 75 and 100 km,1.4556175708041972
